gene,logp
isogroup4,9.83658377786036
isogroup36,0
isogroup144,0.980539927617663
isogroup10,0
isogroup17,1.19638439073856
isogroup3653,0.512193201101976
isogroup21,2.71635690877615
isogroup22,1.85344504440343
isogroup6921,0.138301068605557
isogroup27,1.00887028088412
isogroup28,0
isogroup33,0.989748393410086
isogroup2764,0
isogroup244,0
isogroup41,0.704360649979186
isogroup542,2.31221321110438
isogroup52,0.0581401680315851
isogroup53,0
isogroup54,1.69249803163244
isogroup3338,0
isogroup990,3.32877235082429
isogroup753,0
isogroup72,1.57692072036922
isogroup1585,0
isogroup65,3.51602768791372
isogroup70,0.351443595943791
isogroup71,0.593778037883975
isogroup75,1.50619302643475
isogroup1360,0
isogroup1778,0
isogroup80,0
isogroup3759,0.31635024103416
isogroup290.1,0.516215095875092
isogroup89,1.17657249699389
isogroup638,0
isogroup413,0
isogroup19800,0
isogroup533,1.80242117736726
isogroup10452,0.941011402662072
isogroup95,0
isogroup96,0
isogroup10158,0
isogroup98,0.157716043390824
isogroup99,0.330616748952266
isogroup100,2.44077155121697
isogroup101,0.674727196914508
isogroup97,1.66079957829729
isogroup102,0
isogroup19369,0
isogroup10,0
isogroup103,0.225302624368144
isogroup106,0
isogroup107,6.03883730797608
isogroup109,0
isogroup114,0
isogroup1471,1.85702708205094
isogroup118,0
isogroup1044,0
isogroup119,0
isogroup120,0
isogroup121,0.115103583781884
isogroup124,0
isogroup123,0.0802960236836828
isogroup125,0
isogroup13377,0
isogroup127,0
isogroup125,0.238565264056798
isogroup105,0.0105439777551586
isogroup136,0
isogroup4899,0.453021694103271
isogroup1112,0.34943756152318
isogroup5520,0.52397774119729
isogroup944,0
isogroup4366,0
isogroup1747,0
isogroup1206,0
isogroup6146,0.985384135027787
isogroup2442,0
isogroup3245,0.657201038481046
isogroup140,0
isogroup143,0.298095300978201
isogroup9301,0.541562430005306
isogroup145,0
isogroup678,1.24092794779554
isogroup11799,0.715503148428075
isogroup149,0
isogroup150,2.08700348483883
isogroup154,0
isogroup161,0.558236415172849
isogroup162,0.381195862698506
isogroup158,1.48072522733994
isogroup169,0
isogroup168,0
isogroup175,0.0707420839402436
isogroup177,0
isogroup180,0
isogroup23250,0
isogroup185,0
isogroup23250,0
isogroup186,4.87417605116479
isogroup3641,0.246330847672634
isogroup187,0
isogroup190,0
isogroup194,0
isogroup196,0.373774818728706
isogroup1107.2,0
isogroup200,2.25214146062028
isogroup201,0
isogroup202,0.888523736022395
isogroup141,0.0393792414769316
isogroup203,0.141319372953118
isogroup206,0.9912306034651
isogroup207,1.0381883344222
isogroup3076,29.9566223971054
isogroup216,0
isogroup217,2.07147306459634
isogroup218,0.444741666829524
isogroup26368,0.0760016108584285
isogroup3579,0
isogroup221,1.55936967939193
isogroup7956,1.06830196820946
isogroup226,0
isogroup627,0
isogroup14625,0
isogroup8042,0.562030339949511
isogroup228,0
isogroup894,2.53214784595858
isogroup14371,0
isogroup231,0.00789613624475056
isogroup232,0
isogroup235,0.428636907389182
isogroup4475,0.186704771556718
isogroup6176,0
isogroup241,2.17497857951463
isogroup7069,1.32069461853407
isogroup246,0.0798764904720792
isogroup250,2.04085721835492
isogroup251,1.29932583540245
isogroup252,0
isogroup253,0
isogroup259,0
isogroup8014,1.4265866131772
isogroup260,0
isogroup262,0
isogroup264,2.34422142213477
isogroup1123,0
isogroup7400,0
isogroup1057,0
isogroup25278,0
isogroup4977,0
isogroup263,0
isogroup272,1.16482896496437
isogroup8118,0.000849619187305276
isogroup274,0
isogroup278,0.686221500437693
isogroup23383,0
isogroup276,0
isogroup284,1.08393337103092
isogroup3347,0
isogroup282,0.177875117811697
isogroup13743,0.0817181189789851
isogroup2056,0.0199765895003252
isogroup5442,0.246423287054565
isogroup294,1.02343436503556
isogroup293,1.54525587427896
isogroup9714,0
isogroup3101,0.152493552447584
isogroup281,3.39390969274873
isogroup298,0
isogroup300,0
isogroup303,0
isogroup303,0.712432365526967
isogroup283.1,2.3860136562619
isogroup270,9.46287079034249
isogroup299,2.06718367689312
isogroup6069,0.00049032545388679
isogroup307,0.915444406508878
isogroup1663,0
isogroup310,1.51873066881758
isogroup311,0
isogroup312,0
isogroup1142,0.199079533119508
isogroup12195,0.75490190714103
isogroup9401,0
isogroup3808,0.0183462225958179
isogroup2446,0.117689361610932
isogroup313,0.391062462030179
isogroup9073,0.351301891655555
isogroup215,0.765506578910004
isogroup316,0
isogroup227,0
isogroup322,1.55502243960943
isogroup317,0.0928040136616904
isogroup319,0
isogroup1622,4.95070251704402
isogroup326,1.1328974845104
isogroup516,0.0153765017609694
isogroup2420,0.331845924203525
isogroup17954,0.179766432995665
isogroup10181,0
isogroup332,0.758410125852758
isogroup24634,0
isogroup335,0.00049032545388679
isogroup1750,0.569006939439086
isogroup343,0
isogroup348,1.63593406155925
isogroup339,0.525535102676401
isogroup338,0
isogroup342,0
isogroup346,0
isogroup738,0.472622475384962
isogroup14461,0
isogroup1358,0.918876458358278
isogroup350,2.15118364507523
isogroup12084,0.532665448980209
isogroup5255,0.382705154653836
isogroup8890.2,2.24821815189673
isogroup352,0.342587406172051
isogroup353,0
isogroup1612,2.77931385583952
isogroup356,0.832632487503752
isogroup341,0.587296806578932
isogroup364,0
isogroup365,6.03752607036092
isogroup368,0
isogroup366,0
isogroup369,0.408940388621329
isogroup372,0
isogroup3848,0
isogroup4906,0
isogroup297,0
isogroup3509,0
isogroup373,0
isogroup15174,1.02540839372661
isogroup2642,0
isogroup376,0.994416625834376
isogroup3401,1.68675398745755
isogroup377,0
isogroup383,2.30094004178102
isogroup4843,0.662993686097693
isogroup357.1,0
isogroup386,0.355870952379109
isogroup2755,0
isogroup18739,1.77972466125351
isogroup11201,0
isogroup2839,0.179487211867466
isogroup2670,2.03761458430536
isogroup390,0
isogroup26863,0
isogroup655,0.285155442331993
isogroup394,0.207420088535448
isogroup2692,0
isogroup400,3.15076245340124
isogroup402,0
isogroup403,0.00049032523078683
isogroup412,5.54196704719271
isogroup404,0.530310475581145
isogroup409,0
isogroup415,0
isogroup411,0.401160476125918
isogroup414,20.1254719212204
isogroup420,0
isogroup25517,0.698232898651339
isogroup419,1.23662149175739
isogroup392,1.93870331866129
isogroup424,0.00245716182787798
isogroup427,0.710697887182215
isogroup4457,0
isogroup430,0
isogroup433,0
isogroup2778,0.143599265291955
isogroup11847,0.0315619883405797
isogroup14005,0
isogroup16207,0.0276920388075601
isogroup431,0.612534628454349
isogroup434,0
isogroup3151,0
isogroup9166,0.19095461592184
isogroup13827,0
isogroup438,1.37599110350274
isogroup442,0
isogroup22892,0.060753868660542
isogroup449,0.739941888167393
isogroup16347,0
isogroup450,0
isogroup451,0.80570797377454
isogroup455,1.97850167208468
isogroup456,0.657151396852842
isogroup22892,0
isogroup461,0
