contig	cai
isotig09765	0.789564968037
isotig01446	0.783459233545
isotig12578	0.73957623335
isotig15553	0.760412231646
isotig00230	0.707252481865
isotig00231	0.720436876675
isotig00235	0.700328903281
c028086	0.713993238704
c011142	0.726609623682
c011147	0.792974455566
c011145	0.668082736967
c023528	0.662459340849
c023525	0.685924550816
c023523	0.763285280532
c009047p	0.760083513407
c045198	0.779467689731
c044574	0.868493639089
c050292	0.658695430912
c003574	0.763941302828
c027333	0.762239019016
c003577	0.73473471597
c006313	0.724871495189
c050736	0.801962490889
c003573	0.750756947785
c003572	0.714274552826
c050731	0.697230130838
c006318	0.7560943157
c051749	0.782067138052
c002446p	0.780718260687
c014469	0.761561719916
c002446m	0.763280739379
c014092	0.752641087988
c014465	0.732229142561
c000325m	0.818604904333
c000325p	0.821392934738
c016318p	0.813038315305
c043734	0.746419583709
c020173	0.549152333778
c020177	0.666722369748
c020175	0.755608781555
c017471	0.685308109234
c017470	0.777899256608
c011969	0.699907728819
c011961	0.758497832359
c011963	0.777214709034
c011965	0.762214873
c011967	0.708805696268
c012304	0.714931219744
c012306	0.776434094743
c012300	0.751481374045
c012302	0.759097530163
c012309	0.750908530437
c046271	0.749277288636
c046275	0.814027859632
c021593	0.739755897029
c021590	0.654591443793
c038233	0.711809150823
c021224	0.742243009155
c021223	0.633639378708
c021229	0.673291504647
c013632	0.736118582894
c046854	0.680744438846
c046850	0.713258134807
c046859	0.796615316753
c015268	0.696200027293
c011149	0.807569143798
c007725p	0.828036326511
c011141	0.759877788779
c011146	0.781947979931
c011144	0.73917378895
c009646	0.810882077789
c011605	0.725940077763
c050295	0.750163529023
c050297	0.665938964929
c027334	0.844549368788
c027336	0.774354120742
c027332	0.82916581797
c015202p	0.567391819846
c013332	0.782162270503
c003571	0.811447250905
c050734	0.777819254745
c015202m	0.728289730572
c050732	0.805640199255
c006319	0.7448929808
c011143	0.739405950853
c002812p	0.749615204511
c014468	0.652016801856
c002812m	0.782411470989
c014462	0.788371297616
c014460	0.738774399397
c014466	0.837722653281
c014464	0.748189331733
c053283	0.814715126227
c011413	0.766234699496
c016318m	0.787502400946
c053288	0.760840242963
c000066	0.727203680245
c020172	0.794332488141
c020176	0.816715822482
c001747m	0.708900754896
